"href","nom","photo","bloc","groupe_id","liste","region","sexe","age","profession","siege"
"elus/Walid_Banneni.html","Walid Banneni","/2014/uploads/images/Walid_Banneni.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Kasserine","Hommes","60","Fonctionnaire dans le secteur privé","62"
"elus/Salah_Bargaoui.html","Salah Bargaoui","/2014/uploads/images/Salah_Bargaoui.thumb50.png","Bloc Al Horra du Mouvement Machrouu Tounes","Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes","Mouvement Nidaa Tounes","Siliana","Hommes","58","Avocat","153"
"elus/Tarek_Barrak.html","Tarek Barrak","/2014/uploads/images/Tarek_Barrak.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Kairouan","Hommes","64","Retraité","111"
"elus/Souad_Bayouli.html","Souad Bayouli","/2014/uploads/images/bayouli souad.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Sfax 2","Femmes","52","Enseignant du secondaire","73"
"elus/Mohamed_Ali_Bedoui.html","Mohamed Ali Bedoui","/2014/uploads/images/Mohamed Ali_Bedoui.thumb50.png","Mouvement Ennahdha","Mouvement_Ennahdha","Mouvement Ennahdha","Kebili","Hommes","65","Retraité","232"
"elus/Ali_Belakhoua.html","Ali Belakhoua","/2014/uploads/images/Ali_Belakhoua.thumb50.png","Union Patriotique Libre","Union_Patriotique_Libre","Union Patriotique Libre","Bizerte","Hommes","54","Fonctionnaire dans le secteur privé","258"
"elus/Abdelmoumen_Belanes.html","Abdelmoumen Belanes","/2014/uploads/images/belanes abdelmoumen.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Monastir","Hommes","61","Travailleur Journalier","112"
"elus/Haykel_Belgacem.html","Haykel Belgacem","/2014/uploads/images/belgacem haykel.thumb50.png","Front Populaire","Front_Populaire","Front Populaire","Mahdia","Hommes","45","Instituteur enseignement de base","207"
"elus/Mondher_Belhaj_Ali.html","Mondher Belhaj Ali","/2014/uploads/images/Mondher_Belhaj Ali.thumb50.png","Bloc National","Bloc_National","Mouvement Nidaa Tounes","La Manouba","Hommes","62","Enseignant universitaire","70"
"elus/Bochra_Belhaj_Hamida.html","Bochra Belhaj Hamida","/2014/uploads/images/Bochra_Belhaj Hamida.thumb50.png","Bloc National","Bloc_National","Mouvement Nidaa Tounes","Tunis 2","Femmes","62","Avocat","71"
