href,nom,photo,bloc,groupe_id,liste,region,sexe,age,profession,siege
elus/Souad_Bayouli,Souad Bayouli,./2014/uploads/images/bayouli souad.thumb50.png,Popular Front,Front_Populaire,Popular Front,Sfax 2,Female,52,Teacher,73
elus/Najia_Ben_Abdelhafidh,Najia Ben Abdelhafidh,./2014/uploads/images/Najia_Ben Abdelhafidh.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,France 2,Female,52,Teacher,246
elus/Mahmoud_Gouiaa,Mahmoud Gouiaa,./2014/uploads/images/Mahmoud_Gouiaa.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Kairouan,Male,52,Teacher,234
elus/Hela_Hammi,Hela Hammi,./2014/uploads/images/Hela_Hammi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Ben Arous,Female,52,Banker,275
elus/Imed_Khemiri,Imed Khemiri,./2014/uploads/images/Imed_Khemiri.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,La Manouba,Male,52,Manager (Private Sect),181
elus/Ameur_Laraiedh,Ameur Laraiedh,./2014/uploads/images/Ameur_Laraiedh.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Medenine,Male,52,Professor,178
elus/Zouhair_Maghzaoui,Zouhair Maghzaoui,./2014/uploads/images/Zouhair Maghzaoui.thumb50.png,Democratic Bloc,Bloc_Démocrate,Mouvement du Peuple,Kebili,Male,52,Teacher,266
elus/Mohamed_Mohsen_Soudani,Mohamed Mohsen Soudani,./2014/uploads/images/Mohamed Mohsen_Soudani.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Gafsa,Male,52,Teacher,228
elus/Fathi_Ayadi,Fathi Ayadi,./2014/uploads/images/Fathi_Ayadi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sfax 1,Male,53,Teacher,182
elus/Lakhdhar_Belhouchat,Lakhdhar Belhouchat,./2014/uploads/images/Lakhdhar_Belhouchat.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Medenine,Male,53,Primary Teacher,185
elus/Belgacem_Dkhili,Belgacem Dkhili,./2014/uploads/images/Belgacem_Dkhili.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Jendouba,Male,53,Manager (public sect),100
elus/Tahar_Fdhil,Tahar Fdhil,./2014/uploads/images/fdhil tahar.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Free Patriotic Union,Medenine,Male,53,Lawyer,75
elus/Sami_Fetnassi,Sami Fetnassi,./2014/uploads/images/Sami_Fetnassi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Beja,Male,53,Manager (Private Sect),136
elus/Mohamed_Frikha,Mohamed Frikha,./2014/uploads/images/Mohamed_Frikha.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sfax 2,Male,53,Manager (Private Sect),226
elus/Mahmoud_Kahri,Mahmoud Kahri,./2014/uploads/images/kahri mahmoud.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Kasserine,Male,53,Civil Servant,210
elus/Meherzia_Laabidi,Meherzia Laabidi,./2014/uploads/images/Meherzia_Laabidi.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Nabeul 2,Female,53,Translator,224
elus/Salem_Labiadh,Salem Labiadh,./2014/uploads/images/Salem_Labiadh.thumb50.png,Democratic Bloc,Bloc_Démocrate,Mouvement du Peuple,Medenine,Male,53,Professor,267
elus/Mohamed_Lakhdhar_Lajili,Mohamed Lakhdhar Lajili,./2014/uploads/images/Mohamed Lakhdhar_Lajili.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tozeur,Male,53,Teacher,225
elus/Maher_Madhioub,Maher Madhioub,./2014/uploads/images/Maher_Madhioub.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Arab countries and rest of the world,Male,53,Journalist,188
elus/Leila_Oueslati,Leila Oueslati,./2014/uploads/images/Leila_Oueslati.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Mahdia,Female,53,Teacher,187
elus/Leila_Ouled_Ali,Leila Ouled Ali,./2014/uploads/images/Leila_Ouled Ali.thumb50.png,Bloc National,Bloc_National,Mouvement Nidaa Tounes,Tunis 1,Female,53,Manager (public sect),198
elus/Mongi_Rahoui,Mongi Rahoui,./2014/uploads/images/rahoui mongi.thumb50.png,Popular Front,Front_Populaire,Popular Front,Jendouba,Male,53,Banker,205
elus/Ahmed_Seddik,Ahmed Seddik,./2014/uploads/images/seddik ahmed.thumb50.png,Popular Front,Front_Populaire,Popular Front,Tunis 1,Male,53,Lawyer,14
elus/Nadia_Zangar,Nadia Zangar,./2014/uploads/images/Nadia_Zangar.thumb50.png,Bloc Al Horra,Bloc_Al_Horra_du_Mouvement_Machrouu_Tounes,Mouvement Nidaa Tounes,Nabeul 1,Female,53,Docteur ,282
elus/Kalthoum_Badreddine,Kalthoum Badreddine,./2014/uploads/images/Kalthoum_Badreddine.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sfax 2,Female,54,Lawyer,184
elus/Ali_Belakhoua,Ali Belakhoua,./2014/uploads/images/Ali_Belakhoua.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,Bizerte,Male,54,Employee,258
elus/Aroua_Ben_Abbas,Aroua Ben Abbas,./2014/uploads/images/Aroua_Ben Abbas.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Tunis 2,Female,54,Architect,92
elus/Faouzia_Ben_Fodha,Faouzia Ben Fodha,./2014/uploads/images/faouzia_bf.thumb50.png,Free Patriotic Union,Union_Patriotique_Libre,Free Patriotic Union,La Manouba,Female,54,Primary Teacher,294
elus/Mohamed_Fadhel_Ben_Omrane,Mohamed Fadhel Ben Omrane,./2014/uploads/images/Mohamed Fadhel_Ben Omrane.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,Kebili,Male,54,Lawyer,9
elus/Slim_Besbes,Slim Besbes,./2014/uploads/images/Slim_Besbes.thumb50.png,Mouvement Ennahdha,Mouvement_Ennahdha,Mouvement Ennahdha,Sfax 1,Male,54,Professor,138
elus/Ghazi_Chaouachi,Ghazi Chaouachi,./2014/uploads/images/Ghazi_Chaouachi.thumb50.png,Democratic Bloc,Bloc_Démocrate,Courant Démocratique,Ben Arous,Male,54,Lawyer,213
elus/Ridha_Dellai,Ridha Dellai,./2014/uploads/images/dellai ridha.thumb50.png,Democratic Bloc,Bloc_Démocrate,Mouvement du Peuple,Beja,Male,54,Teacher,265
elus/Youssef_Jouini,Youssef Jouini,./2014/uploads/images/jouini youssef.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Free Patriotic Union,Ariana,Male,54,Civil Servant,260
elus/Houda_Tekaya,Houda Tekaya,./2014/uploads/images/Houda_Tekaya.thumb50.png,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Mouvement Nidaa Tounes,La Manouba,Female,54,Employee,280
elus/Hafedh_Zouari,Hafedh Zouari,./2014/uploads/images/zouari hafedh.thumb50.png,Afek Tounes,Afek_Tounes_et_lappel_des_tunisiens_à_létranger,Afek Tounes,Sousse,Male,54,Entrepreneur,45
elus/Nizar_Amami,Nizar Amami,./2014/uploads/images/amami nizar.thumb50.png,Popular Front,Front_Populaire,Popular Front,La Manouba,Male,55,Civil Servant,206
elus/Noureddine_Ben_Achour,Noureddine Ben Achour,./2014/uploads/images/ben achour noureddine.thumb50.png,Aucun bloc,Aucun_bloc,Free Patriotic Union,Beja,Male,55,Farmer,259
